ime;pivovarna;vrsta;velikost;stopnja_alkohola;drzava;cena;opis
BrewDog Black Tokyo Horizon;BrewDog;Stout Beer;0.33;15.2;Scotland;;Black Tokyo Horizon is a collaborative beer from Brew Dog, Mikkeller and Nogne O.
BrewDog Abstrakt AB:14;BrewDog;Bock Beer;0.37;10.2;Scotland;;Part of BrewDog's Abstrakt brand, which tend to be just a little more boundary-pushing than BrewDog's already radical catalogue.
BrewDog Libertine Black Ale;BrewDog;Dark Ale Beer;0.33;7.2;Scotland;;Somewhat of a mid-ground between an IPA and a stout, the BrewDog Libertine Black Ale is packed with hops while maintaining a rich, decadent mouth feel, along with all the other goodies that tasty
BrewDog Hardcore IPA;BrewDog;IPA (India Pale Ale) Beer;0.33;9.2;Scotland;6.94;The Hardcore IPA from BrewDog is a big, bold and boisterous beer. It's intense, it's in your face, it's pretty much incredible. It'd probably listen to its music way too loud if it was a person.
BrewDog Dogma;BrewDog;Scotch Beer;0.33;7.4;Scotland;;The BrewDog Dogma is made with 10 different types of malt all blended together with Scottish heather honey, resulting in a supremely smooth sip.
BrewDog Jack Hammer;BrewDog;IPA (India Pale Ale) Beer;0.33;7.2;Scotland;3.09;As subtle as a power drill, the BrewDog Jack Hammer IPA is plenty bitter, and that's just how they like it up at the Scottish brewery.
BrewDog Electric India 6.5%;BrewDog;Saison Beer;0.33;6.5;Scotland;;BrewDog's Electric India is crafted using an already-hoppy Saison, which is brewed with orange peel, heather honey, crushed black pepper corns and hopped some more with lots of amarillo and nelson
BrewDog & Victory U-Boat;BrewDog;Smoked Beer;0.33;8.4;Scotland;;A collaboration between BrewDog up in Scotland and Victory Brewing over in Pennsylvania, USA.
BrewDog #Mashtag 2014 - Democratic Imperial Red Ale;BrewDog;Red Ale Beer;0.33;9.0;Scotland;;A beer for the people, by the people (and BrewDog, of course).
BrewDog & Mikkeller I Hardcore You;Mikkeller;IPA (India Pale Ale) Beer;0.33;9.5;Denmark;;A collaborative beer by BrewDog and Mikkeller, combining the Hardcore IPA with I Beat You, both of which are rather hoppy. Following the blending, they dry hop it. You know, to make it more hoppy.
BrewDog Cocoa Psycho;BrewDog;Stout Beer;0.33;10.0;Scotland;7.5;A decidedly decadent beer from BrewDog. Judging by the name alone, take a punt at what flavours you think you're going to find in this Imperial Russian Stout. Go on, have a guess.
BrewDog Black Jacques;BrewDog;Saison Beer;0.33;11.1;Scotland;;Ah yes, one of them there BrewDog beers! Black Jacques is an Imperial Black Saison which has slumbered in red wine barrels for 9 months. It's a brilliant, bizarre beast to say the least - lovely job!
BrewDog Everyday Anarchy;BrewDog;Saison Beer;0.33;10.3;Scotland;;A rambunctious Imperial Saison which has been aged in white wine barrels by that boisterous BrewDog bunch. The label is really something to behold indeed.
BrewDog Mixtape 8;BrewDog;Cask-Aged Beer;0.33;14.5;Scotland;;BrewDog combine two oak-aged beers to create Mixtape 8. In the blue corner, you'll fine a Triple India Pale Ale. In the red corner, there's a hopped up Belgian Tripel.
BrewDog Paradox Heaven Hill;BrewDog;Cask-Aged Beer;0.33;15.0;Scotland;;One of the BrewDog Paradox beers! Aces! This one is an imperial stout which has been aged in Heaven Hill bourbon barrels, giving this little rascal oodles of flavour.
BrewDog Abstrakt AB:16;BrewDog;Quadrupel Beer;0.37;10.6;Scotland;;One of the experimental beers in BrewDog's Abstrakt range. In fact, they're up to number 16 now! AB:16 is a gorgeously rich Belgian Quad which has been infused with coffee beans. Superb stuff.
Einstök Icelandic White Ale;Einstök Ölgerð Beer Company;Wheat / Wit / White Beer;0.33;5.2;Iceland;2.32;Einstök brew their beers with pure Icelandic water and this witbier was made with Bavarian noble hops, wheat malt and pilsner malts, oats, coriander and orange peel.\r\n\r\nOut of stock?
Einstök Icelandic Arctic Ale;Einstök Ölgerð Beer Company;Pale Ale Beer;0.33;5.6;Iceland;2.38;Einstök Ölgerð. Icelandic, they are. This is their 'Viking' Pale Ale made with Cascade and Northern Brewer hops.
Einstök Icelandic Toasted Porter;Einstök Ölgerð Beer Company;Porter Beer;0.33;6.0;Iceland;2.52;A Porter from Einstök Ölgerð brewed with a soupçon of Icelandic roasted coffee alongside lager malt, Munich malt, chocolate malt and Bavarian hops.
Einstök Icelandic Doppelbock;Einstök Ölgerð Beer Company;Lager / Pilsner Beer;0.33;6.7;Iceland;2.79;A seasonal Doppelbock from the incredible Icelandic brewers, Einstök! Delicious stuff, perfect for the winter months.
BrewDog This.Is.Lager.;BrewDog;Lager / Pilsner Beer;0.33;4.7;Scotland;;Madness? This. Is. Lager. It. Is. From. BrewDog. Ok, we're not going to do that this whole time, but you get the idea. This.Is.Lager.
BrewDog Brixton Porter;BrewDog;Porter Beer;0.33;5.0;Scotland;;A classic from BrewDog's selection of ace beers, the Brixton Porter is plenty chocolatey and rich, but that's not the only string on its bow - there's also lighter hints of orchard fruit and aromatic
BrewDog Konnichiwa Kitsune;BrewDog;IPA (India Pale Ale) Beer;0.33;8.2;Scotland;;Part of BrewDog's Hello My Name Is...
BrewDog Pumpkinhead;BrewDog;Herb / Spice Beer;0.33;5.1;Scotland;;BrewDog Pumpkinhead is an autumnal treat, which has been spiced with clove, ginger, star anise, cinnamon, nutmeg, allspice and grains of paradise.
BrewDog Dog C;BrewDog;Stout Beer;0.33;15.1;Scotland;;Dog C was released to mark 7 years of BrewDog beers. Cheers! Immensely rich and flavoursome, Dog C is an imperial stout which is brewed with cacao, coffee and Naga chilli.
BrewDog Abstrakt Ab:17;BrewDog;Coffee / Chocolate / Honey Beer;0.38;10.9;Scotland;;From BrewDog's Abstrakt range comes Ab:17, a 'three coffee rye imperial porter', which is made with espresso in the mash, cafetiere in the boil and whole roast beans in the whirlpool and the
Harviestoun Ola Dubh 12 Special Reserve;Harviestoun;Cask-Aged Beer;0.33;8.0;Scotland;5.89;A very special ale from the Harviestoun Brewery, this was aged in casks which previously held Highland Park 12 year old! Now that's an ale!
Harviestoun Ola Dubh 16 Special Reserve;Harviestoun;Cask-Aged Beer;0.33;8.0;Scotland;;This Ola Dubh is a very good quality ale matured in casks whisky previously held 16 year old Highland Park, the result is a fabulous drink.
Harviestoun Ola Dubh 18 Special Reserve;Harviestoun;Cask-Aged Beer;0.33;8.0;Scotland;6.7;An ale with a difference. Ola Dubh is ale that was aged in whisky casks, and casks from Highland Park no less. This particular ale was aged in casks which previously held 18 year old Highland Park!
Harviestoun Ola Dubh 30 Special Reserve;Harviestoun;Cask-Aged Beer;0.33;8.0;Scotland;;Ola Dubh is fantastic ale from Harviestoun, aged in casks whisky previously held Highland Park single malt!
Harviestoun Ola Dubh 40 Special Reserve;Harviestoun;Cask-Aged Beer;0.33;8.0;Scotland;;An artisan beer from Harviestoun, Ola Dubh 40 was aged in casks which previously housed 40 year old Highland Park - it really is the beer with a difference...
Meantime London Porter;Meantime;Porter Beer;0.75;6.5;England;;A big, full bodied London Porter from Meantime in Greenwich. This is a bottle conditioned beer which will improve with age because it contains fast and slow acting yeasts.
Meantime Pale Ale;Meantime;APA (American Pale Ale) Beer;0.33;4.7;England;;A very special pale ale from Meantime made with English Goldings and American Cascade and Cluster hops for added bitterness.
Meantime Coffee Porter;Meantime;Coffee / Chocolate / Honey Beer;0.33;6.0;England;;A Coffee flavoured Porter from Meantime in Greenwich. This won a Gold Medal for Coffee Beer at the 2006 World Beer Cup.
Meantime India Pale Ale;Meantime;IPA (India Pale Ale) Beer;0.75;7.5;England;;A full sized bottle of India Pale Ale made with Goldings and Fuggles hops. This is made with as many hops as they can physically fit into the copper, this really is a unique, full-bodied IPA!
Meantime London Pale Ale;Meantime;Pale Ale Beer;0.5;4.3;England;;An incredible London Pale Ale made in small batches in Greenwich with English Goldings and American Cascade and Cluster hops. This is made using Meantime's own dry hopping technique.
BrewDog Vagabond Pale Ale;BrewDog;APA (American Pale Ale) Beer;0.33;4.5;Scotland;2.2;BrewDog's Vagabond Pale Ale is a tasty beer made with Extra Pale, Cara and Crystal Malts, as well as Centennial and Amarillo hops, Scottish water and their clean-fermenting house yeast.
BrewDog Sink The Bismarck! (37.5cl);BrewDog;IPA (India Pale Ale) Beer;0.37;41.0;Scotland;;Blimey. While BrewDog previously held the world record for strongest beer with their Tactical Nuclear Penguin, it was soon overtaken by a beer weighing in a 40% ABV.
3 Fonteinen Oude Kriek;Brouwerij 3 Fonteinen;Sour / Lambic Beer;0.38;5.0;Belgium;;A Belgian Kriek lambic from Beersel, close to Brussels. Cherries are added for 6 to 8 months with a further 4 months in the bottle before release.
Brew By Numbers 03|03 Porter (Traditional);Brew By Numbers;Porter Beer;0.33;7.0;England;;With Brew By Numbers, the first number refers to the beer style (3 - Porter) and the second refers to the recipe within that beer style (3 - Traditional).
Brew By Numbers 12|05 Barrel Aged Tripel;Brew By Numbers;Tripel Beer;0.75;9.6;England;;A Belgian-style Tripel aged in ex-Chardonnay white wine barrels and bottle-conditioned for a further nine months. In fact, this Barrel Aged (12) Tripel (05) is an oak matured version of 14|01 i.e.
Beavertown 8 Ball Rye IPA;Beavertown;Rye Beer;0.33;6.2;England;2.6;Beavertown's moment of Americana as they pay homage to the big US IPAs. Rye and Crystal Rye (Rye-PA?
Beavertown Neck Oil;Beavertown;IPA (India Pale Ale) Beer;0.33;4.3;England;2.2;Beavertown's ultimate session beer, designed to be perfect at any time, even from 8am in the morning!
Beavertown Gamma Ray American Pale Ale;Beavertown;APA (American Pale Ale) Beer;0.33;5.4;England;2.5;Made with Best Pale, Caragold and Caramalt malts as well as Colombus, Bravo, Amarillo, Citra and Calypso hops (dry-hopped for days), this is a deliciously drinkable offering from popular craft
Beavertown Holy Cowbell India Stout;Beavertown;Stout Beer;0.33;5.6;England;3.06;Taking the Cockney version of De Beauvoir Town for their name, these London brewers (now based in Tottenham Hale) continue to produce top beers such as this India Stout or 'Hopped Stout'.
Beavertown Black Betty IPA;Beavertown;IPA (India Pale Ale) Beer;0.33;7.4;England;2.7;Woah! A Black IPA made with Carafa II & III malts for the roasty dark character (alongside Best Pale, Caragold and Caramalt) with Colombus, Chinook and Citra hops.
Black Isle Organic Blonde;Black Isle Brewery;Lager / Pilsner Beer;0.33;4.5;Scotland;2.86;Black Isle's Blonde is a premium craft lager that shares its character with a pale ale, made with organic Hallertau Aroma hops from New Zealand resulting in a continental (European) feel.
Black Isle Organic Goldeneye Pale Ale;Black Isle Brewery;Pale Ale Beer;0.33;5.6;Scotland;3.0;Goldeneye! We've found your weakness. Classic pale ale from Black Isle brewery made with wheat, pale ale and crystal malts. Dum, dum dum dum - sing it Tina!
Black Isle Organic Hibernator Oatmeal Stout;Black Isle Brewery;Stout Beer;0.33;7.0;Scotland;;An organic stout from Black Isle brewery made with Pale and Chocolate malts, unmalted oats and English First Golding hops.
Black Isle Organic Pollinator;Black Isle Brewery;Coffee / Chocolate / Honey Beer;0.33;5.0;Scotland;;A light golden/blonde Black Isle beer brewed with heather honey! What's more, Black Isle donate 10p from each sale to The Bumble Bee Conservation Trust to support their important work.
Black Isle Organic Red Kite Amber Ale;Black Isle Brewery;Bitter Beer;0.33;4.2;Scotland;2.86;An amber ale from Black Isle that shares its name with a bird of prey. Made with British hops, the brewery suggest enjoying it alongside a winter stew or paired with Glenmorangie 18 Year Old...
Black Isle Citra Saison;Black Isle Brewery;Saison Beer;0.33;6.6;Scotland;;Farmhouse ale brewed with Citra hops in Scotland by Black Isle!
Black Isle Berliner Weisse;Black Isle Brewery;Wheat / Wit / White Beer;0.33;3.5;Scotland;2.68;A traditional sour Berliner Weisse from Black Isle Brewing in the Scottish Highlands. The brewers recommend trying this one with a dash of elderflower cordial.
The Bruery Mischief;The Bruery;Blonde Beer;0.75;8.5;United States;;A Belgian-style Golden Ale that's purportedly up to no good from the Famille Rue aka The Bruery. It is, you see, dry hopped with American hops.
Bruery Terreux Tart of Darkness;The Bruery;Sour / Lambic Beer;0.75;7.2;United States;;Tart of Darkness. Quite a name! Naturally, it refers to the fact that this is a sour stout. Why, what were you thinking?
Bruery Terreux Sour In The Rye;The Bruery;Sour / Lambic Beer;0.75;7.7;United States;25.04;An American wild ale from Bruery Terreux, a dedicated brand from The Bruery for these kinds of great beers. It's made with a high proportion of rye malt and matured in oak barrels for over a year.
Bruery Terreux Beret;The Bruery;Sour / Lambic Beer;0.75;9.0;United States;;A princely raspberry beret of a sour witbier (made with pureed raspberries) from The Bruery in California.
The Bruery Autumn Maple Brown Ale;The Bruery;Dark Ale Beer;0.75;10.0;United States;17.33;The Buery's take on the ol' seasonal pumpkin ale, they eschewed the squash cultivar in favour of the yam!
Cloudwater Brown Ale (Winter Range);Cloudwater Brew Co.;Dark Ale Beer;0.33;4.8;England;;A seasonal brown ale from Manchester's Cloudwater Brew Co. made with Australian and American hops.
Cloudwater Porter (Autumn Range);Cloudwater Brew Co.;Porter Beer;0.33;6.0;England;;A Porter from Cloudwater's Autumn range produced at their home in Manchester, not far from the Piccadilly railway station.
Cloudwater Small Beer - Hibernate (Special Edition);Cloudwater Brew Co.;Stout Beer;0.75;7.5;England;;A Special Edition Stout from Cloudwater Brew Co. release to mark their 100th brew! Ironically named, it's made from the second runnings of an Imperial Stout.
Crooked Stave Progenitor;Crooked Stave;Sour / Lambic Beer;0.38;6.2;United States;;Progenitor\r\n1. Dry hopped golden sour ale\r\n2. Ancestral form from which others derived\r\n\r\nA fantastic sour ale from the Crooked Stave Artisan Beer Project in Denver, Colorado.
Crooked Stave Colorado Wild Sage;Crooked Stave;Saison Beer;0.38;7.2;United States;10.0;From the Crooked Stave Artisan Beer Project in Denver comes this Brett Saison brewed with wild white sage and lemongrass!
Evil Twin Citra Sunshine Slacker;Evil Twin Brewing;IPA (India Pale Ale) Beer;0.47;4.5;United States;;A slacker doesn't sound like the perfect thing to base a beer's character on, but Evil Twin make a compelling case:\r\n\r\nDespite his bitterness, lack of power and insuperable aversion to any kind of
Evil Twin Femme Fatale Blanc;Evil Twin Brewing;IPA (India Pale Ale) Beer;0.65;6.0;United States;11.0;An Evil Twin American IPA made with Nelson Sauvin hops and fermented with Brettanomyces at Westbrook Brewing Co., South Carolina.
Evil Twin Femme Fatale Noir;Evil Twin Brewing;Dark Ale Beer;0.65;6.0;United States;11.66;A Bretted Black IPA (fermented with Brettanomyces) from Evil Twin's Femme Fatale series.
Evil Twin Femme Fatale Sudachi;Evil Twin Brewing;IPA (India Pale Ale) Beer;0.65;6.0;United States;11.0;The Femme Fatale beers from Evil Twin are all fermented with brettanomyces. A genus of yeast that takes its name from the Greek for 'British fungus', you can call it simply call it Brett.
Evil Twin Femme Fatale Kabosu;Evil Twin Brewing;IPA (India Pale Ale) Beer;0.65;6.0;United States;12.0;The Femme Fatale series pays tribute to the labour of love a new brew can become for its potentially obsessed creators! This India Pale Ale comes from Westbrook Brewing Co.
Evil Twin Freudian Slip;Evil Twin Brewing;Barley Wine Beer;0.36;10.3;United States;6.12;As far as names for no nonsense, saying it how it is beers go, it doesn't get much better. A tremendous  Evil Twin barley wine brewed at Two Roads Brewing Co., Connecticut.
Evil Twin Hipster Ale;Evil Twin Brewing;APA (American Pale Ale) Beer;0.35;5.5;United States;;A beer for the global hipster, the hipster beer without borders, just in case you don't happen to live in the kind of happening cities that may have been the subject of some other 'hip' releases.
Evil Twin Hop Flood;Evil Twin Brewing;Pale Ale Beer;0.36;7.0;United States;4.1;An Amber Ale from Evil Twin (brewed by Two Roads in Connecticut), that's their bitter tribute to the heroic bottles that didn’t make it following flooding in Copenhagen (and in particular the
Evil Twin Lil' B;Evil Twin Brewing;Porter Beer;0.36;11.5;United States;6.26;An Imperial Porter brewed at Two Roads Brewing Co., Connecticut and bottled by Evil Twin who continue to provide us with fantastic beers from ten top breweries around the world.
Evil Twin Même Jésus Plus;Evil Twin Brewing;Stout Beer;0.33;10.0;United States;;An Imperial Stout with cocoa nibs added from everybody's favourite Evil Twin (brewed at Westbrook Brewing in South Carolina).
Evil Twin Ryan and the Beaster Bunny;Evil Twin Brewing;Saison Beer;0.36;7.0;United States;4.0;A seasonal (saisonal?) beer first thought up by Evil Twin on the island of Fanø off the west coast of Denmark.
Evil Twin Soft DK;Evil Twin Brewing;Stout Beer;0.36;10.4;United States;5.94;Hey, why's that beer called Soft DK? Well according to Evil Twin This stout looks like soft dookie and some will say it smells and tastes like it too.
Evil Twin Christmas Eve at a New York City Hotel Room;Evil Twin Brewing;Stout Beer;0.36;10.0;United States;;A 'festive' Imperial Stout brewed for the excellent Evil Twin at Two Roads brewery in Connecticut and bottled at a punchy 10% abv!
Evil Twin Yang;Evil Twin Brewing;IPA (India Pale Ale) Beer;0.36;10.0;United States;;Evil Twin have produced two beers that when combined create their very own Black & Tan (made by mixing pale and dark beer). They go together like Yin & Yang and that's exactly what they're called!
Evil Twin Yin;Evil Twin Brewing;Stout Beer;0.36;10.0;United States;5.8;An Imperial Taiji Stout described by Evil Twin (who sound like they know a thing or two about the subject) as profoundly evil.
Greenbrew Monsieur Rock;Greenbrew;Blonde Beer;0.33;6.6;Belgium;;A blonde bottle fermented 'Belgian' beer made with Pilsner malt that at the time of writing is actually brewed at Meantime in Greenwich whilst they await the construction of their own brewery in
Green Flash Le Freak;Green Flash;IPA (India Pale Ale) Beer;0.65;9.2;United States;11.46;A Belgian-style Imperial IPA - part Belgian-Style Tripel, part American Imperial IPA! Amarillo dry-hopped and bottle-conditioned - Le Freak, c'est chic! Perfect for good times.
Green Flash Imperial IPA;Green Flash;IPA (India Pale Ale) Beer;0.65;9.0;United States;;A high gravity imperial heavily hopped with Nugget and Summit for a 'San Diego-style IPA'.
Green Flash Hop Head Red;Green Flash;IPA (India Pale Ale) Beer;0.36;8.1;United States;;A combination of Double IPA and Red Ale styles made with Warrior and Nugget hops and dry hopped with Amarillo by Green Flash Brewing Co. from San Diego, California.
Harviestoun Raspy Engine;Harviestoun;Porter Beer;0.33;5.3;Scotland;;A Harviestoun Old Engine Oil Porter (made with Washington Galena, Worcester Fuggles and Kent Goldings hops) infused with Scottish raspberries!
Hitachino Nest Japanese Classic Ale;Kiuchi Brewery;IPA (India Pale Ale) Beer;0.33;7.0;Japan;3.5;A bottle-conditioned Japanese ale made with Chinook, Fuggle and Kent Golding hops alongside Marris Otter, Munich and Crystal malts. It's matured in cedar oak.
Hitachino Nest Saison Du Japon;Kiuchi Brewery;Saison Beer;0.33;5.0;Japan;;A Saison from Japanese brewery Kiuchi made with local wheat, koji-kin (malted rice, as used in sake) and yuzu juice (added at the very end of the fermentation, which takes place with sake yeast and
Hop Concept Lemon & Grassy (Hop Freshener Series);Hop Concept;IPA (India Pale Ale) Beer;0.65;8.5;United States;12.0;A seasonal IPA brewed with lemon zest as well as Galena, Brewers Gold, Comet, Lemon Drop, Nelson and Sorachi Ace hops. Part of Hop Concept's Hop Freshener Series from the folk behind Port Brewing Co.
Kees Farmhouse IPA;Brouwerij Kees;IPA (India Pale Ale) Beer;0.33;6.0;Netherlands;;From Brouwerij Kees comes a farmhouse tribute beer.
Kees Just Another IPA;Brouwerij Kees;IPA (India Pale Ale) Beer;0.33;6.5;Netherlands;;An IPA (another one!) from Kees in Middelburg, the Netherlands made with Kahatu and\r\nMotueka hops from New Zealand alongside wheat and English Marris Otter malts.
Kees & Magic Rock - Brewed With Friends #1;Brouwerij Kees;Quadrupel Beer;0.33;12.5;Netherlands;;Brouwerij Kees 'collabo' number one is with Magic Rock and is brewed with blackberries, blackcurrant, oranges, apple, cinnamon, star anise and vanilla!
Mikkeller All Others Pale's Pale;Mikkeller;APA (American Pale Ale) Beer;0.33;5.8;Denmark;;Act One – Int. Mikkeller Night\r\n\r\nHenry & Sally arrive at the bar. Sally orders a pale ale. She takes a sip. Then another.\r\n\r\nHenry: “How is it?
Mikkeller Amass B&W;Mikkeller;IPA (India Pale Ale) Beer;0.33;6.5;Denmark;;A West Coast Style IPA created for American Matt Orlando's Amass restaurant in Copenhagen and brewed at D’Proef in Belgium. A truly international beer!
Mikkeller Gravøl - Death is not the end!;Mikkeller;Dark Lager / Schwarzbier Beer;0.33;5.0;Denmark;;Gravøl translates roughly as 'memorial', but it's more of a celebratory, traditional Norse funeral feast where - if it was the man of the house that had died - a ceremonial beer would be drunk by the
Mikkeller Milk Stout;Mikkeller;Stout Beer;0.33;6.0;Denmark;;Milk stout is awesome stuff made using lactose sugar, which can't be fermented by beer yeast. This craft release from Mikkel Borg Bjergsø's excellent Mikkeller is no exception.
Mikkeller Nuclear Hop Assault;Mikkeller;IPA (India Pale Ale) Beer;0.33;8.0;Denmark;;This double Imperial India Pale Ale from Mikkeller is made with hybrid hops as a tribute to the metal band of the same name and was actually brewed at D’Proef in Belgium.
Mikkeller Oktoberpretzel;Mikkeller;Oktoberfest Beer;0.33;5.8;Denmark;;Oktoberfestbier and pretzels, the perfect combination. What if you could have an Oktoberfestbier style beer that's actually brewed with pretzels, though? Two birds with one stone!
Mikkeller Vesterbro Brown;Mikkeller;Dark Ale Beer;0.33;5.0;Denmark;;Originally a Mikkeller Bar house beer, this cracking Brown Ale is now available in bottles! Brewed at D’Proef in Belgium.
Mikkeller Vesterbro Wit;Mikkeller;Wheat / Wit / White Beer;0.33;4.5;Denmark;;A house beer at the Mikkeller bar in Vesterbro, Copenhagen, which is brewed at D’Proef in Belgium.
Mikkeller Wheat Is The New Hops;Mikkeller;IPA (India Pale Ale) Beer;0.33;6.0;Denmark;4.78;An IPA made with wheat and fermented with brettanomyces at D’Proef brewery in Belgium for Mikkeller.
Moa Southern Alps White IPA;Moa Brewing Company;Wheat / Wit / White Beer;0.5;6.4;New Zealand;;A fusion of Belgian Wit and IPA from Moa (say 'more') Brewing Company in New Zealand made with Nelson Sauvin and Citra hops as well as Vienna and Pale Wheat malts.
Moa Imperial Stout;Moa Brewing Company;Stout Beer;0.5;10.2;New Zealand;;A French oak aged Stout from New Zealand hopped to over 100 IBUs. This is one you could cellar.
Moa St Josephs Belgian Tripel;Moa Brewing Company;Tripel Beer;0.5;9.5;New Zealand;6.96;A Belgian-style Tripel from Marlborough, New Zealand! Moa, pronounced 'more', is the award winning craft beer company founded by Josh Scott, the son of Marlborough winemaker Allan Scott.
Moa Five Hop English Ale;Moa Brewing Company;Bitter Beer;0.5;6.2;New Zealand;;English-style ale from Marlborough, New Zealand made with Cascade, Pacifica, Motueka, Hallertau and Nelson Sauvin hops.
Moa Festive IPA Red Edition;Moa Brewing Company;IPA (India Pale Ale) Beer;0.5;6.0;New Zealand;;From Moa's Festive IPA Series comes a red IPA, featuring Simcoe and Amarillo hops.
Moor Beer Company So'Hop;Moor Beer Company;Pale Ale Beer;0.33;4.1;England;;A very drinkable 'ultra pale ale' made with British floor malt and Southern hemisphere hops by the Moor Beer Co. The malt used was low coloured cara, allowing the hops to really shine.
Moor Beer Company Nor'Hop;Moor Beer Company;Pale Ale Beer;0.33;4.1;England;2.54;Named Best English Style Pale & Bitter by Rate Beer, this is an 'ultra pale ale' from Moor Beer Co. made with British floor malt and a specially selected American (Northern hemisphere) hop.
Moor Beer Company RAW;Moor Beer Company;Bitter Beer;0.33;4.3;England;;RAW was created to be the house beer for the Real Ale Weston and Royal Artillery Arms pubs as a hoppier version of Moor Beer Co.'s Merlin's Magic bitter.
Moor Beer Company Revival;Moor Beer Company;Pale Ale Beer;0.33;3.8;England;;Moor Beer Company Revival is a 'Trans-Atlantic pale ale' from the South West UK-based brewery, made using a combination of pale, lager, cara, crystal and wheat malts, as well as a blend of American
Moor Beer Company TFA;Moor Beer Company;Dark Ale Beer;0.33;7.0;England;;TFA stands for Totally Fucking Awesome, an apt name for this Black IPA from Moor. When the company also has an English IPA called The Empire Strikes Back (geddit?
Murray's Rudeboy Pilsner;Murray's;Lager / Pilsner Beer;0.33;4.8;Australia;;A rather special roundel-sporting beer from Murray's Craft Brewing Co. - 'cause all other pilsners are mod-cons. Nice.
Murray's Angry Man Pale Ale;Murray's;APA (American Pale Ale) Beer;0.33;5.0;Australia;;This Australian American Pale Ale from Murray's Craft Brewing Co. is a knock-out cold. (Geddit?) American Centennial and New Zealand Motueka are used alongside British, German and Australian malts.
Murray's FRED IPA;Murray's;IPA (India Pale Ale) Beer;0.33;5.6;Australia;;An IPA from Murray's, whose tagline is simply No Boring Beer.
Mystic Mary of the Gael;Mystic Brewery;Saison Beer;0.75;6.7;United States;;A Saison-Style Farmhouse Ale produced for St. Brigid’s Day, marking the start of Celtic spring. Pilsener and honey malt are used and this beer is liberally dry hopped.
Mystic Table Beer;Mystic Brewery;Saison Beer;0.75;4.3;United States;12.0;Table beer, now there's an idea. Mystic, you have our full attention!
Mystic Flor Ventus;Mystic Brewery;Sour / Lambic Beer;0.75;4.5;United States;20.63;Unfiltered, unpasteurised and bottle conditioned wild (or sour) ale from Mystic barrel programme in Massachusetts, matured in French oak.
